 # Stamped by ../../../build/disorder on 19/01/2024 at 12:57:38
 #../../../build/disorder -ncall2 100000000 -n3lo -ncall1 1000000 -pdf MSHT20an3lo_as118 -Q 10 -scaleuncert -pdfuncert -NC -noCC -Ehad 920 -Elep 27.6 -mz 91.1876 -mw 80.398 -includeZ -prefix NC_an3lo_Q10_
 # ----------------------------------------------------------
 # Doing DIS @ n3lo  (e^- + p)
 # Inclusively in radiation
 # Including neutral current
 # With γ/Z
 # xmin, xmax:           0.0009846     1.0000000
 # ymin, ymax:           0.0000000     1.0000000
 # Qmin, Qmax:          10.0000000    10.0000000 GeV
 # Electron energy:     27.6000000 GeV
 # Proton energy:      920.0000000 GeV
 # COM energy:      101568.0000000 GeV^2
 # PDF:             MSHT20an3lo_as118
 # MZ:                  91.1876000 GeV
 # MW:                  80.3980000 GeV
 # nf:                           5
 # CA:                   3.0000000
 # CF:                   1.3333333
 # TR:                   0.5000000
 # αS(MZ):               0.1180007
 # 1/αEM:              137.0000000
 # GF:                   0.1126702E-04 GeV^-2
 # sin(θ_W)^2:           0.2226459
 # ----------------------------------------------------------
# dsigma/dlogx index   0
 -.69233136D+01 -.66463811D+01 0.18795483D+02 0.93124495D-02
 -.66463811D+01 -.63694485D+01 0.20493721D+02 0.97131696D-02
 -.63694485D+01 -.60925160D+01 0.21858611D+02 0.10013479D-01
 -.60925160D+01 -.58155834D+01 0.22596902D+02 0.10159118D-01
 -.58155834D+01 -.55386509D+01 0.22732577D+02 0.10194850D-01
 -.55386509D+01 -.52617183D+01 0.22329464D+02 0.10104943D-01
 -.52617183D+01 -.49847858D+01 0.21537628D+02 0.99379765D-02
 -.49847858D+01 -.47078533D+01 0.20487241D+02 0.97035811D-02
 -.47078533D+01 -.44309207D+01 0.19300473D+02 0.94281096D-02
 -.44309207D+01 -.41539882D+01 0.18042321D+02 0.91252512D-02
 -.41539882D+01 -.38770556D+01 0.16800829D+02 0.88040636D-02
 -.38770556D+01 -.36001231D+01 0.15628717D+02 0.85031355D-02
 -.36001231D+01 -.33231905D+01 0.14500721D+02 0.81893473D-02
 -.33231905D+01 -.30462580D+01 0.13439671D+02 0.78790042D-02
 -.30462580D+01 -.27693254D+01 0.12477524D+02 0.75952100D-02
