 # Stamped by ./disorder on  6/09/2023 at 02:13:21
 #./disorder -p2b -pdf MSHT20nnlo_as118 -Qmin 5 -Qmax 31.62277660168379331998 -ymin 0.04 -ymax 0.95
 # ----------------------------------------------------------
 # Doing DIS @  nlo  (e^- + p)
 # Using DISENT with projection-to-Born
 # Including neutral current
 # With γ only
 # xmin, xmax:         1.3290802764486975E-003   1.0000000000000000
 # ymin, ymax:         4.0000000000000001E-002  0.94999999999999996
 # Q2min, Q2max:       25.000000000000000        1000.0000000000000      GeV^2
 # Electron energy:    18.000000000000000      GeV
 # Proton energy:      275.00000000000000      GeV
 # COM energy:         19800.000000000000      GeV^2
 # PDF:             MSHT20nnlo_as118
 # MZ:                 91.187600000000003
 # MW:                 80.397999999999996
 # nf:                         5
 # CA:                 3.0000000000000000
 # CF:                 1.3333333333333333
 # TR:                0.50000000000000000
 # αS(MZ):            0.11800072760577117
 # 1/αEM:              137.00000000000000
 # GF:                 1.1267023651653377E-005
 # sin(θ_W)^2:        0.22264585341299603
 # ----------------------------------------------------------
# sigcut index   0
   0.00000000D+00   0.10000000D+01  -0.13114720D+06   0.10768529D+04


# ptj1 index   1
   0.50000000D+01   0.60000000D+01   0.33435867D+04   0.18988623D+01
   0.60000000D+01   0.70000000D+01   0.22452987D+04   0.11557190D+01
   0.70000000D+01   0.80000000D+01   0.14452703D+04   0.85273490D+00
   0.80000000D+01   0.90000000D+01   0.95549891D+03   0.71574978D+00
   0.90000000D+01   0.10000000D+02   0.66153713D+03   0.50144629D+00
   0.10000000D+02   0.11000000D+02   0.46636461D+03   0.37934820D+00
   0.11000000D+02   0.12000000D+02   0.33727302D+03   0.26069053D+00
   0.12000000D+02   0.13000000D+02   0.24811298D+03   0.19430498D+00
   0.13000000D+02   0.14000000D+02   0.18534768D+03   0.15909347D+00
   0.14000000D+02   0.15000000D+02   0.14038789D+03   0.11911973D+00
   0.15000000D+02   0.16000000D+02   0.10764025D+03   0.10032801D+00
   0.16000000D+02   0.17000000D+02   0.83111967D+02   0.85272626D-01
   0.17000000D+02   0.18000000D+02   0.64696262D+02   0.70351724D-01
   0.18000000D+02   0.19000000D+02   0.50553387D+02   0.53267288D-01
   0.19000000D+02   0.20000000D+02   0.39610878D+02   0.44652342D-01
   0.20000000D+02   0.21000000D+02   0.31135652D+02   0.41731215D-01
   0.21000000D+02   0.22000000D+02   0.24352953D+02   0.36776929D-01
   0.22000000D+02   0.23000000D+02   0.19142446D+02   0.26912076D-01
   0.23000000D+02   0.24000000D+02   0.14812850D+02   0.22723931D-01
   0.24000000D+02   0.25000000D+02   0.11384465D+02   0.19453095D-01
   0.25000000D+02   0.26000000D+02   0.85899565D+01   0.15572769D-01
   0.26000000D+02   0.27000000D+02   0.62374447D+01   0.13428918D-01
   0.27000000D+02   0.28000000D+02   0.42994172D+01   0.12386298D-01
   0.28000000D+02   0.29000000D+02   0.27091491D+01   0.92201563D-02
   0.29000000D+02   0.30000000D+02   0.13912389D+01   0.28666768D-02


# etaj1 index   2
  -0.20000000D+01  -0.18000000D+01   0.49707639D+00   0.20825085D+00
  -0.18000000D+01  -0.16000000D+01   0.11277180D+03   0.66125427D+00
  -0.16000000D+01  -0.14000000D+01   0.41687616D+03   0.13771574D+01
  -0.14000000D+01  -0.12000000D+01   0.84388027D+03   0.16853515D+01
  -0.12000000D+01  -0.10000000D+01   0.13458411D+04   0.27710732D+01
  -0.10000000D+01  -0.80000000D+00   0.18699118D+04   0.31611184D+01
  -0.80000000D+00  -0.60000000D+00   0.23732762D+04   0.32694105D+01
  -0.60000000D+00  -0.40000000D+00   0.28278144D+04   0.38369779D+01
  -0.40000000D+00  -0.20000000D+00   0.32153410D+04   0.40973289D+01
  -0.20000000D+00   0.00000000D+00   0.35280207D+04   0.42245016D+01
   0.00000000D+00   0.20000000D+00   0.37578480D+04   0.40782695D+01
   0.20000000D+00   0.40000000D+00   0.39368780D+04   0.40422352D+01
   0.40000000D+00   0.60000000D+00   0.40385814D+04   0.46187456D+01
   0.60000000D+00   0.80000000D+00   0.40942001D+04   0.37686289D+01
   0.80000000D+00   0.10000000D+01   0.40899514D+04   0.36349779D+01
   0.10000000D+01   0.12000000D+01   0.40570036D+04   0.35517847D+01
   0.12000000D+01   0.14000000D+01   0.39983457D+04   0.26330905D+01
   0.14000000D+01   0.16000000D+01   0.32985935D+04   0.20175900D+01
   0.16000000D+01   0.18000000D+01   0.23146629D+04   0.12224888D+01
   0.18000000D+01   0.20000000D+01   0.15325076D+04   0.65731570D+00
   0.20000000D+01   0.22000000D+01   0.95923656D+03   0.31866764D+00
   0.22000000D+01   0.24000000D+01   0.56143654D+03   0.14807676D+00
   0.24000000D+01   0.26000000D+01   0.30956991D+03   0.61704172D-01
   0.26000000D+01   0.28000000D+01   0.17242945D+03   0.33716855D-01
   0.28000000D+01   0.30000000D+01   0.10373091D+03   0.23812837D-01


